Region,rate,year
Abai Region,5,2022
Akmola Region,4.8,2022
Aktobe Region,4.8,2022
Almaty Region,4.7,2022
Atyrau Region,4.8,2022
West Kazakhstan Region,5,2022
Jambyl Region,5,2022
Jetisu Region,5.1,2022
Karaganda Region,4.4,2022
Kostanay Region,4.9,2022
Kyzylorda Region,4.9,2022
Mangystau Region,5.1,2022
Pavlodar Region,4.8,2022
North Kazakhstan Region,4.9,2022
Turkistan Region,5.2,2022
Ulytau Region,4.3,2022
East Kazakhstan Region,4.7,2022
Astana city,4.6,2022
Almaty city,5,2022
Shymkent city,5,2022
